kode_bs;nks;kode_desa
7317010017003B;200027;7317010017
7317010012002B;100011;7317010012
7317010019006B;100043;7317010019
7317011007002B;100083;7317011007
7317011003003B;100062;7317011003
7317011008003B;100089;7317011008
7317020006003B;100101;7317020006
7317020008010B;100114;7317020008
7317020014001B;100125;7317020014
7317021003002B;200144;7317021003
7317021003003B;200145;7317021003
7317021002003B;100142;7317021002
7317030005002B;150019;7317030005
7317030007002B;100178;7317030007
7317030020003B;150034;7317030020
7317030003008B;150014;7317030003
7317031003002B;100186;7317031003
7317031005001B;100194;7317031005
7317032002006B;150045;7317032002
7317032004002B;100213;7317032004
7317032007005B;150050;7317032007
7317040004001B;100220;7317040004
7317040005002B;150061;7317040005
7317040008002B;100228;7317040008
7317040012001B;100240;7317040012
7317041002002B;200253;7317041002
7317050013001B;200278;7317050013
7317051011002B;100348;7317051011
7317052005001B;100357;7317052005
7317052006002B;100360;7317052006
7317060025003B;200405;7317060025
7317060004001B;100382;7317060004
7317060002002B;100371;7317060002
7317060003004B;100376;7317060003
7317061016002B;200419;7317061016
7317061009007B;150079;7317061009
7317061014001B;100413;7317061014
7317062007001B;200459;7317062007
7317062013001B;100477;7317062013
7317062002003B;100441;7317062002
7317062005005B;100453;7317062005
7317062001003B;100435;7317062001
7317062015003B;100486;7317062015
7317070010006B;200535;7317070010
7317070011006B;250096;7317070011
7317070005001B;100510;7317070005
7317070005002B;100511;7317070005
7317070004001B;100504;7317070004
7317070009004B;100529;7317070009
7317070011001B;150091;7317070011
7317080019001B;250113;7317080019
7317080020002B;100557;7317080020
7317080002003B;100541;7317080002
7317080021002B;150119;7317080021
7317081004003B;200575;7317081004
7317081005001B;200576;7317081005
7317081001003B;100563;7317081001
7317090007002B;100595;7317090007
7317090013002B;100599;7317090013
7317091002004B;100630;7317091002
7317091002007B;100633;7317091002
7317091007003B;100650;7317091007
7317091009001B;100662;7317091009
7317092002004B;100677;7317092002
7317092002002B;100675;7317092002
7317093004004B;200707;7317093004
7317093006003B;200715;7317093006
