kode_desa;nama_desa;kode_kec
7317010017;Rante Alang;7317010
7317010012;Buntu Matabbing;7317010
7317010019;Larompong;7317010
7317011007;Sampano;7317011
7317011003;Bonepute;7317011
7317011008;Malewong;7317011
7317020006;Tawondu;7317020
7317020008;Suli;7317020
7317020014;Malela;7317020
7317021003;Salubua;7317021
7317021002;Kaili;7317021
7317030005;Belopa;7317030
7317030007;Kurrusumanga;7317030
7317030020;Tampumia Radda;7317030
7317030003;Senga Selatan;7317030
7317031003;Kamanre;7317031
7317031005;Wara;7317031
7317032002;Pammanu;7317032
7317032004;Lauwa;7317032
7317032007;Sabe;7317032
7317040004;Tallang Bulawang;7317040
7317040005;Balla;7317040
7317040008;Rumaju;7317040
7317040012;Sumabu;7317040
7317041002;Tumbu Bara;7317041
7317050013;Andulan;7317050
7317051011;Tibussan;7317051
7317052005;Pantilang;7317052
7317052006;Maindo;7317052
7317060025;Salu Induk;7317060
7317060004;Padang Kamburi;7317060
7317060002;Padang Tuju;7317060
7317060003;Noling;7317060
7317061016;Tirowali;7317061
7317061009;Padang Subur;7317061
7317061014;Buntu Kamiri;7317061
7317062007;Olang;7317062
7317062013;Tarramatekkeng;7317062
7317062002;Pattedong;7317062
7317062005;Lampuara;7317062
7317062001;Paccerakang;7317062
7317062015;To Bia;7317062
7317070010;Tana Rigella;7317070
7317070011;Sakti;7317070
7317070005;Pammesakang;7317070
7317070004;Raja;7317070
7317070009;Tiromanda;7317070
7317080019;Lalong;7317080
7317080020;Walenrang;7317080
7317080002;Tombang;7317080
7317080021;Batusitanduk;7317080
7317081004;Kendekan;7317081
7317081005;Sukadamai;7317081
7317081001;Tabah;7317081
7317090007;Wiwitan;7317090
7317090013;Salu Jambu;7317090
7317091002;Bolong;7317091
7317091007;Salutubu;7317091
7317091009;Siteba;7317091
7317092002;Ilan Batu Uru;7317092
7317093004;Pelalan;7317093
7317093006;Salu Pao;7317093
