tahun;petugas_id;kode_bs;nks;no_urut
2025;24;7317010017003B;200027;1
2025;24;7317010017003B;200027;2
2025;24;7317010017003B;200027;3
2025;24;7317010017003B;200027;4
2025;24;7317010017003B;200027;5
2025;24;7317010017003B;200027;6
2025;24;7317010017003B;200027;7
2025;24;7317010017003B;200027;8
2025;24;7317010017003B;200027;9
2025;24;7317010017003B;200027;10
2025;13;7317010012002B;100011;1
2025;13;7317010012002B;100011;2
2025;13;7317010012002B;100011;3
2025;13;7317010012002B;100011;4
2025;13;7317010012002B;100011;5
2025;13;7317010012002B;100011;6
2025;13;7317010012002B;100011;7
2025;13;7317010012002B;100011;8
2025;13;7317010012002B;100011;9
2025;13;7317010012002B;100011;10
2025;39;7317010019006B;100043;1
2025;39;7317010019006B;100043;2
2025;39;7317010019006B;100043;3
2025;39;7317010019006B;100043;4
2025;39;7317010019006B;100043;5
2025;39;7317010019006B;100043;6
2025;39;7317010019006B;100043;7
2025;39;7317010019006B;100043;8
2025;39;7317010019006B;100043;9
2025;39;7317010019006B;100043;10
2025;13;7317011007002B;100083;1
2025;13;7317011007002B;100083;2
2025;13;7317011007002B;100083;3
2025;13;7317011007002B;100083;4
2025;13;7317011007002B;100083;5
2025;13;7317011007002B;100083;6
2025;13;7317011007002B;100083;7
2025;13;7317011007002B;100083;8
2025;13;7317011007002B;100083;9
2025;13;7317011007002B;100083;10
2025;10;7317011003003B;100062;1
2025;10;7317011003003B;100062;2
2025;10;7317011003003B;100062;3
2025;10;7317011003003B;100062;4
2025;10;7317011003003B;100062;5
2025;10;7317011003003B;100062;6
2025;10;7317011003003B;100062;7
2025;10;7317011003003B;100062;8
2025;10;7317011003003B;100062;9
2025;10;7317011003003B;100062;10
2025;10;7317011008003B;100089;1
2025;10;7317011008003B;100089;2
2025;10;7317011008003B;100089;3
2025;10;7317011008003B;100089;4
2025;10;7317011008003B;100089;5
2025;10;7317011008003B;100089;6
2025;10;7317011008003B;100089;7
2025;10;7317011008003B;100089;8
2025;10;7317011008003B;100089;9
2025;10;7317011008003B;100089;10
2025;39;7317020006003B;100101;1
2025;39;7317020006003B;100101;2
2025;39;7317020006003B;100101;3
2025;39;7317020006003B;100101;4
2025;39;7317020006003B;100101;5
2025;39;7317020006003B;100101;6
2025;39;7317020006003B;100101;7
2025;39;7317020006003B;100101;8
2025;39;7317020006003B;100101;9
2025;39;7317020006003B;100101;10
2025;14;7317020008010B;100114;1
2025;14;7317020008010B;100114;2
2025;14;7317020008010B;100114;3
2025;14;7317020008010B;100114;4
2025;14;7317020008010B;100114;5
2025;14;7317020008010B;100114;6
2025;14;7317020008010B;100114;7
2025;14;7317020008010B;100114;8
2025;14;7317020008010B;100114;9
2025;14;7317020008010B;100114;10
2025;9;7317020014001B;100125;1
2025;9;7317020014001B;100125;2
2025;9;7317020014001B;100125;3
2025;9;7317020014001B;100125;4
2025;9;7317020014001B;100125;5
2025;9;7317020014001B;100125;6
2025;9;7317020014001B;100125;7
2025;9;7317020014001B;100125;8
2025;9;7317020014001B;100125;9
2025;9;7317020014001B;100125;10
2025;40;7317021003002B;200144;1
2025;40;7317021003002B;200144;2
2025;40;7317021003002B;200144;3
2025;40;7317021003002B;200144;4
2025;40;7317021003002B;200144;5
2025;40;7317021003002B;200144;6
2025;40;7317021003002B;200144;7
2025;40;7317021003002B;200144;8
2025;40;7317021003002B;200144;9
2025;40;7317021003002B;200144;10
2025;41;7317021003003B;200145;1
2025;41;7317021003003B;200145;2
2025;41;7317021003003B;200145;3
2025;41;7317021003003B;200145;4
2025;41;7317021003003B;200145;5
2025;41;7317021003003B;200145;6
2025;41;7317021003003B;200145;7
2025;41;7317021003003B;200145;8
2025;41;7317021003003B;200145;9
2025;41;7317021003003B;200145;10
2025;14;7317021002003B;100142;1
2025;14;7317021002003B;100142;2
2025;14;7317021002003B;100142;3
2025;14;7317021002003B;100142;4
2025;14;7317021002003B;100142;5
2025;14;7317021002003B;100142;6
2025;14;7317021002003B;100142;7
2025;14;7317021002003B;100142;8
2025;14;7317021002003B;100142;9
2025;14;7317021002003B;100142;10
2025;3;7317030005002B;150019;1
2025;3;7317030005002B;150019;2
2025;3;7317030005002B;150019;3
2025;3;7317030005002B;150019;4
2025;3;7317030005002B;150019;5
2025;3;7317030005002B;150019;6
2025;3;7317030005002B;150019;7
2025;3;7317030005002B;150019;8
2025;3;7317030005002B;150019;9
2025;3;7317030005002B;150019;10
2025;3;7317030007002B;100178;1
2025;3;7317030007002B;100178;2
2025;3;7317030007002B;100178;3
2025;3;7317030007002B;100178;4
2025;3;7317030007002B;100178;5
2025;3;7317030007002B;100178;6
2025;3;7317030007002B;100178;7
2025;3;7317030007002B;100178;8
2025;3;7317030007002B;100178;9
2025;3;7317030007002B;100178;10
2025;25;7317030020003B;150034;1
2025;25;7317030020003B;150034;2
2025;25;7317030020003B;150034;3
2025;25;7317030020003B;150034;4
2025;25;7317030020003B;150034;5
2025;25;7317030020003B;150034;6
2025;25;7317030020003B;150034;7
2025;25;7317030020003B;150034;8
2025;25;7317030020003B;150034;9
2025;25;7317030020003B;150034;10
2025;9;7317030003008B;150014;1
2025;9;7317030003008B;150014;2
2025;9;7317030003008B;150014;3
2025;9;7317030003008B;150014;4
2025;9;7317030003008B;150014;5
2025;9;7317030003008B;150014;6
2025;9;7317030003008B;150014;7
2025;9;7317030003008B;150014;8
2025;9;7317030003008B;150014;9
2025;9;7317030003008B;150014;10
2025;33;7317031003002B;100186;1
2025;33;7317031003002B;100186;2
2025;33;7317031003002B;100186;3
2025;33;7317031003002B;100186;4
2025;33;7317031003002B;100186;5
2025;33;7317031003002B;100186;6
2025;33;7317031003002B;100186;7
2025;33;7317031003002B;100186;8
2025;33;7317031003002B;100186;9
2025;33;7317031003002B;100186;10
2025;33;7317031005001B;100194;1
2025;33;7317031005001B;100194;2
2025;33;7317031005001B;100194;3
2025;33;7317031005001B;100194;4
2025;33;7317031005001B;100194;5
2025;33;7317031005001B;100194;6
2025;33;7317031005001B;100194;7
2025;33;7317031005001B;100194;8
2025;33;7317031005001B;100194;9
2025;33;7317031005001B;100194;10
2025;8;7317032002006B;150045;1
2025;8;7317032002006B;150045;2
2025;8;7317032002006B;150045;3
2025;8;7317032002006B;150045;4
2025;8;7317032002006B;150045;5
2025;8;7317032002006B;150045;6
2025;8;7317032002006B;150045;7
2025;8;7317032002006B;150045;8
2025;8;7317032002006B;150045;9
2025;8;7317032002006B;150045;10
2025;8;7317032004002B;100213;1
2025;8;7317032004002B;100213;2
2025;8;7317032004002B;100213;3
2025;8;7317032004002B;100213;4
2025;8;7317032004002B;100213;5
2025;8;7317032004002B;100213;6
2025;8;7317032004002B;100213;7
2025;8;7317032004002B;100213;8
2025;8;7317032004002B;100213;9
2025;8;7317032004002B;100213;10
2025;25;7317032007005B;150050;1
2025;25;7317032007005B;150050;2
2025;25;7317032007005B;150050;3
2025;25;7317032007005B;150050;4
2025;25;7317032007005B;150050;5
2025;25;7317032007005B;150050;6
2025;25;7317032007005B;150050;7
2025;25;7317032007005B;150050;8
2025;25;7317032007005B;150050;9
2025;25;7317032007005B;150050;10
2025;16;7317040004001B;100220;1
2025;16;7317040004001B;100220;2
2025;16;7317040004001B;100220;3
2025;16;7317040004001B;100220;4
2025;16;7317040004001B;100220;5
2025;16;7317040004001B;100220;6
2025;16;7317040004001B;100220;7
2025;16;7317040004001B;100220;8
2025;16;7317040004001B;100220;9
2025;16;7317040004001B;100220;10
2025;16;7317040005002B;150061;1
2025;16;7317040005002B;150061;2
2025;16;7317040005002B;150061;3
2025;16;7317040005002B;150061;4
2025;16;7317040005002B;150061;5
2025;16;7317040005002B;150061;6
2025;16;7317040005002B;150061;7
2025;16;7317040005002B;150061;8
2025;16;7317040005002B;150061;9
2025;16;7317040005002B;150061;10
2025;32;7317040008002B;100228;1
2025;32;7317040008002B;100228;2
2025;32;7317040008002B;100228;3
2025;32;7317040008002B;100228;4
2025;32;7317040008002B;100228;5
2025;32;7317040008002B;100228;6
2025;32;7317040008002B;100228;7
2025;32;7317040008002B;100228;8
2025;32;7317040008002B;100228;9
2025;32;7317040008002B;100228;10
2025;32;7317040012001B;100240;1
2025;32;7317040012001B;100240;2
2025;32;7317040012001B;100240;3
2025;32;7317040012001B;100240;4
2025;32;7317040012001B;100240;5
2025;32;7317040012001B;100240;6
2025;32;7317040012001B;100240;7
2025;32;7317040012001B;100240;8
2025;32;7317040012001B;100240;9
2025;32;7317040012001B;100240;10
2025;4;7317041002002B;200253;1
2025;4;7317041002002B;200253;2
2025;4;7317041002002B;200253;3
2025;4;7317041002002B;200253;4
2025;4;7317041002002B;200253;5
2025;4;7317041002002B;200253;6
2025;4;7317041002002B;200253;7
2025;4;7317041002002B;200253;8
2025;4;7317041002002B;200253;9
2025;4;7317041002002B;200253;10
2025;19;7317050013001B;200278;1
2025;19;7317050013001B;200278;2
2025;19;7317050013001B;200278;3
2025;19;7317050013001B;200278;4
2025;19;7317050013001B;200278;5
2025;19;7317050013001B;200278;6
2025;19;7317050013001B;200278;7
2025;19;7317050013001B;200278;8
2025;19;7317050013001B;200278;9
2025;19;7317050013001B;200278;10
2025;31;7317051011002B;100348;1
2025;31;7317051011002B;100348;2
2025;31;7317051011002B;100348;3
2025;31;7317051011002B;100348;4
2025;31;7317051011002B;100348;5
2025;31;7317051011002B;100348;6
2025;31;7317051011002B;100348;7
2025;31;7317051011002B;100348;8
2025;31;7317051011002B;100348;9
2025;31;7317051011002B;100348;10
2025;34;7317052005001B;100357;1
2025;34;7317052005001B;100357;2
2025;34;7317052005001B;100357;3
2025;34;7317052005001B;100357;4
2025;34;7317052005001B;100357;5
